multi_title,theta,n_keywords,p,r
TRUE,0.695192796,30,0.973941368,0.389830508
TRUE,0.695192796,32,0.973770492,0.387222947
TRUE,0.695192796,34,0.970491803,0.385919166
TRUE,0.695192796,36,0.970198675,0.382007823
TRUE,0.695192796,38,0.970198675,0.382007823
TRUE,0.695192796,40,0.970198675,0.382007823
TRUE,0.78475997,5,0.960655738,0.382007823
TRUE,0.78475997,6,0.958730159,0.393741851
TRUE,0.78475997,8,0.954063604,0.35202086
TRUE,0.78475997,10,0.977859779,0.345501956
TRUE,0.78475997,12,0.974358974,0.346805737
TRUE,0.78475997,14,0.977859779,0.345501956
TRUE,0.78475997,16,0.978181818,0.35071708
TRUE,0.78475997,17,0.974545455,0.349413299
TRUE,0.78475997,19,0.974358974,0.346805737
TRUE,0.78475997,21,0.978181818,0.35071708
TRUE,0.78475997,23,0.977443609,0.338983051
TRUE,0.78475997,25,0.97810219,0.349413299
TRUE,0.78475997,27,0.978021978,0.348109518
TRUE,0.78475997,28,0.974025974,0.293350717
TRUE,0.78475997,30,0.974025974,0.293350717
TRUE,0.78475997,32,0.973913043,0.292046936
TRUE,0.78475997,34,0.973913043,0.292046936
TRUE,0.78475997,36,0.973913043,0.292046936
TRUE,0.78475997,38,0.974137931,0.294654498
TRUE,0.78475997,40,0.974248927,0.295958279
TRUE,0.88586679,5,0.965517241,0.255541069
TRUE,0.88586679,6,0.971698113,0.268578879
TRUE,0.88586679,8,0.973958333,0.24380704
TRUE,0.88586679,10,0.972826087,0.233376793
TRUE,0.88586679,12,0.972067039,0.226857888
TRUE,0.88586679,14,0.972972973,0.234680574
TRUE,0.88586679,16,0.973684211,0.241199478
TRUE,0.88586679,17,0.974226804,0.246414602
TRUE,0.88586679,19,0.972826087,0.233376793
TRUE,0.88586679,21,0.972826087,0.233376793
TRUE,0.88586679,23,0.972527473,0.230769231
TRUE,0.88586679,25,0.972527473,0.230769231
TRUE,0.88586679,27,0.972375691,0.22946545
TRUE,0.88586679,28,0.972826087,0.233376793
TRUE,0.88586679,30,0.972972973,0.234680574
TRUE,0.88586679,32,0.972972973,0.234680574
TRUE,0.88586679,34,0.972972973,0.234680574
TRUE,0.88586679,36,0.972972973,0.234680574
TRUE,0.88586679,38,0.972972973,0.234680574
TRUE,0.88586679,40,0.972972973,0.234680574
TRUE,1,5,1,0.028683181
TRUE,1,6,1,0.036505867
TRUE,1,8,0.962962963,0.033898305
TRUE,1,10,0.964285714,0.035202086
TRUE,1,12,1,0.032594524
TRUE,1,14,1,0.031290743
TRUE,1,16,1,0.019556714
TRUE,1,17,0.954545455,0.0273794
TRUE,1,19,1,0.035202086
TRUE,1,21,1,0.024771838
TRUE,1,23,1,0.0273794
TRUE,1,25,1,0.036505867
TRUE,1,27,1,0.035202086
